Company,Website,Industry,Product/Service Category,Business Type,Employees Count,Revenue,Year Founded,BBB Rating,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source,Lead Score
Hill LLC,https://www.chan.com/,Education,EHR Systems,B2B,103,$500K-$1M,2022,A,East Marieside,DE,001-476-283-9508,http://walker.com/,Anna,Moon,"Designer, ceramics/pottery",http://mercer.net/,560-276-7596x786,,scraped,28
Norton-Hunter,https://www.haley.com/,Education,CRM,B2B,58,$50M+,2004,A+,Francisfurt,WY,(177)055-0993x796,http://www.george-richardson.com/,Timothy,Black,Operational investment banker,http://west-sanchez.com/,6653828300,jerrygutierrez@patrick.com,scraped,45
Armstrong-Lowe,http://evans.net/,Education,Accounting Tools,B2B2C,669,$1M-$10M,2014,A+,New Bruce,CA,422-221-1610,,John,Morales,"Engineer, site",,001-807-882-7383x28809,,manual,35
Dunn-Evans,http://www.hall.com/,Education,Custom Software,B2B,910,$10M-$50M,1994,NR,Thomasfurt,NV,(533)381-5556,,Michael,Hanson,Musician,,1745276602,kara71@yahoo.com,scraped,35
Francis PLC,https://www.phelps-martin.com/,Retail,EHR Systems,B2B2C,29,$1M-$10M,2011,NR,Rodriguezside,ME,965-151-4428x61726,,Lindsay,Kelley,Company secretary,,001-389-986-7906x574,,manual,30
Washington and Sons,https://www.foster.com/,Retail,e-Learning,B2B2C,685,$1M-$10M,2001,B,East Maureen,LA,827.346.6321x1457,http://www.diaz.com/,Kathleen,Murphy,"Buyer, retail",https://www.hatfield.org/,204-127-8881x0762,,manual,30
Rodriguez Group,https://juarez.net/,Education,Accounting Tools,B2C,647,$500K-$1M,2023,C,Kevinside,NH,+1-704-011-9182x6902,https://price.info/,Jason,Moore,"Designer, graphic",http://www.calhoun-smith.net/,(387)179-1931,alexanderfoster@gmail.com,manual,20
Gonzalez-Oneal,https://www.stephens-fernandez.org/,Software Development,Custom Software,B2C,84,$1M-$10M,1991,B,South Christianmouth,WI,(408)163-2471,,Mary,Galloway,"Nurse, adult",,793-677-3376,,scraped,35
"Hawkins, Campbell and Cunningham",https://www.jarvis.org/,Education,e-Learning,B2B2C,815,$10M-$50M,1998,B,North Jonathan,FL,624.506.2238x070,http://phillips.org/,Clinton,Noble,"Engineer, site",https://jackson-hunter.com/,(818)885-5798x776,vicki46@yahoo.com,manual,35
Hanna LLC,https://gould.info/,Finance,e-Learning,B2B2C,389,$1M-$10M,2008,B,Tiffanyside,OK,(415)755-1895x088,http://www.cunningham-preston.info/,Phyllis,Todd,Hydrogeologist,https://french.com/,423.316.6046x0461,,scraped,25
Barry-Peterson,https://www.fox-hester.biz/,Real Estate,Accounting Tools,B2B2C,89,$50M+,2022,NR,Torreschester,NE,+1-407-737-1264,https://www.solis.com/,April,Townsend,Building surveyor,http://marsh-reed.com/,+1-066-152-1963x05899,schaeferemily@gmail.com,manual,25
Cooper-Hays,http://meyer.net/,Retail,Mobile Apps,B2B2C,288,$500K-$1M,2024,C,Mannington,AZ,291.721.6060,,Victoria,Harrison,"Psychologist, sport and exercise",,3962162781,lynn51@payne.info,manual,15
Alvarez PLC,https://parsons.net/,Retail,Custom Software,B2C,401,$1M-$10M,2020,B,Josephside,UT,+1-879-247-3124x133,,Jenna,Simmons,Corporate investment banker,,(173)695-7105x51301,amymorris@williams-harrington.com,manual,25
"Velasquez, Johnson and Brown",https://www.vasquez.biz/,Finance,Custom Software,B2C,65,$1M-$10M,1998,A,Collierville,UT,491.578.5460,,Nicole,Williams,Environmental health practitioner,,381-382-2352x13723,garciamelissa@dunn.biz,scraped,38
Garcia-Hunter,http://www.watson-zhang.org/,Healthcare,EHR Systems,B2B,122,$10M-$50M,1990,B,Franklinstad,AR,408-802-2339,,Catherine,Thomas,Industrial/product designer,,+1-936-568-3100x79555,,manual,35
"Delgado, Gallegos and Love",http://lambert.com/,Education,Mobile Apps,B2B2C,742,$500K-$1M,2012,B,Fishertown,VT,665.254.9610,http://dawson.com/,Danielle,Perez,Nutritional therapist,https://www.miller.com/,916-286-9285x1516,jonesnicole@white-vasquez.net,scraped,20
Beck Ltd,http://www.arroyo-griffin.com/,Finance,CRM,B2C,661,$500K-$1M,2024,B,Michelleton,OK,001-743-789-4533x3561,,Sean,Hodge,Public house manager,,164.091.2776,,manual,10
Washington-Carpenter,https://www.ruiz.com/,Software Development,e-Learning,B2B2C,725,$500K-$1M,2008,B,East Denisetown,OH,+1-789-422-5117x99507,,Justin,Cohen,"Designer, jewellery",,(535)058-9700x4086,,scraped,20
"Ruiz, Moore and Peterson",https://www.williams-byrd.org/,Finance,EHR Systems,B2B,17,$50M+,2002,B,Murphychester,ND,3104117977,http://www.wilson-ford.com/,Bruce,White,Theatre manager,http://www.payne.com/,001-727-409-4104x1278,,scraped,30
Berry Group,http://hutchinson.com/,Healthcare,Custom Software,B2B2C,866,$1M-$10M,2017,A,Edwardport,AR,597-341-9741,http://www.mckenzie.biz/,Angelica,Price,"Designer, interior/spatial",http://www.parsons-davis.com/,001-315-586-0490,,scraped,33
Benton-Cain,https://www.mason.com/,Software Development,EHR Systems,B2B,888,$500K-$1M,2016,A,South Codybury,OK,869-733-7507,,Peter,Luna,Secretary/administrator,,(809)022-1964x87718,smithtara@hotmail.com,manual,48
"Owens, Robinson and Carter",http://www.butler.com/,Finance,Accounting Tools,B2B2C,887,$1M-$10M,2019,A+,Rayside,DE,(433)233-3373,,Scott,Anderson,Clinical molecular geneticist,,+1-570-886-4193x897,,manual,35
Cole Inc,https://hamilton.com/,Education,e-Learning,B2B,507,$500K-$1M,2012,A,Hughesberg,GA,001-784-155-8345x58944,http://bean.com/,Jessica,Adams,Air broker,https://www.smith.com/,156-078-0165,teresahill@hotmail.com,manual,43
Hunt-Gould,http://www.rogers.com/,Finance,EHR Systems,B2B,28,$1M-$10M,1991,C,Solisfort,KY,2153110652,,Valerie,Curtis,Clinical research associate,,(229)193-2607x9832,,scraped,35
Hardin-Carrillo,https://www.english.com/,Finance,e-Learning,B2B2C,881,$500K-$1M,2015,NR,Flynnberg,IL,505.062.4381x519,http://www.hamilton.com/,Anna,Chambers,Tour manager,https://www.mendoza.com/,+1-598-369-5687x801,morgan57@hunter-holder.net,manual,25
Gonzalez-Lane,http://www.young.com/,Real Estate,EHR Systems,B2B2C,831,$10M-$50M,2022,C,Sueton,NY,001-406-410-6529x673,,Miranda,Richardson,"Geneticist, molecular",,+1-266-008-0678x23645,lori78@yahoo.com,scraped,20
Barry-Warner,https://boyer-bennett.biz/,Real Estate,CRM,B2B,73,$50M+,2015,B,Smithbury,SC,0661404633,,Jessica,Thompson,Waste management officer,,+1-284-122-4528x76475,jasonanthony@gmail.com,scraped,30
Martinez Inc,https://www.barrett.com/,Finance,Custom Software,B2B2C,703,$10M-$50M,2000,C,North Daniel,CT,6861691006,https://www.hammond.com/,Cristian,Berg,Police officer,https://www.winters-rogers.com/,499-846-5926x150,,scraped,25
"Wagner, Coleman and Flores",http://www.lee-simon.com/,Real Estate,e-Learning,B2B2C,488,$10M-$50M,2012,NR,South David,DC,001-134-982-4656x43907,,Steve,Martin,Wellsite geologist,,365.816.6041,,manual,25
"Smith, Gonzalez and Morgan",https://welch.com/,Finance,e-Learning,B2B2C,646,$10M-$50M,2018,C,Dorseybury,TX,(030)818-9259x7974,http://www.mccoy-parsons.com/,Patrick,Alvarado,"Engineer, petroleum",https://stevens.net/,489-551-6688x5927,,scraped,25
Armstrong-Hubbard,http://thomas-robbins.net/,Healthcare,CRM,B2B,169,$10M-$50M,2004,NR,North Anthony,CA,+1-538-454-5961x203,,Ronald,Pugh,Television floor manager,,847.081.9675x619,,manual,35
Merritt LLC,http://hernandez.biz/,Healthcare,CRM,B2B2C,769,$500K-$1M,1996,A,Lake Andreafurt,ME,073.880.9617,,Jonathan,Warner,Chief of Staff,,335-692-4294x66724,,scraped,18
Mora Inc,https://norton.com/,Healthcare,Accounting Tools,B2B,763,$10M-$50M,2008,A+,North Nicolefort,NV,001-125-253-4020x238,https://www.mahoney-palmer.org/,Janice,Marquez,Firefighter,http://www.anderson-savage.com/,001-215-452-7336x6942,,scraped,45
Bender Group,http://www.oliver.net/,Finance,Custom Software,B2B2C,737,$10M-$50M,2000,NR,Morganberg,MN,335-225-5932,,Charles,Hernandez,Counselling psychologist,,695-586-9649,jessicawalker@yahoo.com,manual,30
Owens-Meyer,https://williams.com/,Software Development,e-Learning,B2B2C,609,$1M-$10M,2005,C,East Ashleyfurt,UT,(816)514-9513,https://www.meyer.com/,Brian,Evans,"Horticulturist, amenity",https://www.burton.com/,772.554.6588,amandafields@young.net,manual,45
Rivera Inc,http://www.wilson.org/,Real Estate,Accounting Tools,B2B,870,$10M-$50M,2015,C,South Kathleenfurt,CO,9879415104,http://rowland.info/,Kristin,Herman,Airline pilot,https://www.fleming-graves.com/,743.752.4039x664,april62@hotmail.com,scraped,40
Richard-Martinez,https://baker.info/,Healthcare,Mobile Apps,B2C,736,$50M+,2003,A,South Stephanie,OK,001-104-912-7278x187,,Jeffery,Moody,Furniture conservator/restorer,,001-944-811-5238x58825,,manual,23
"Lara, Cain and Gordon",http://www.powers.com/,Software Development,e-Learning,B2B,703,$10M-$50M,1992,NR,North Shannon,KY,+1-159-117-1791x66822,,Daniel,Davenport,"Scientist, research (maths)",,6507816959,aperez@gmail.com,scraped,45
"Mclean, Moyer and Castillo",https://www.love.org/,Healthcare,Mobile Apps,B2B2C,646,$10M-$50M,2016,NR,South Roger,NY,0805872374,https://www.hurst.biz/,Jose,Thompson,Jewellery designer,http://mcconnell-hinton.org/,(065)452-1001x936,xhubbard@hotmail.com,scraped,30
Ellis PLC,https://wilson-mendez.com/,Retail,Mobile Apps,B2C,371,$50M+,2001,B,Carlaland,WA,(287)017-0866,,Tiffany,Ortiz,"Engineer, production",,342-424-7072x0012,,manual,15
Taylor Ltd,https://hendrix.com/,Real Estate,Mobile Apps,B2C,294,$50M+,2000,A,South Sharon,VT,(627)009-3167x2966,http://www.clark.com/,Danielle,Rice,Animal technologist,http://gray-wagner.com/,(991)146-7052,,scraped,23
"Harper, Moody and Frey",https://french-goodman.com/,Education,CRM,B2B2C,428,$500K-$1M,2012,NR,Jeremiahbury,CA,009-731-7824,,Anita,Cortez,Product manager,,303.166.5493x501,,manual,15
Edwards Ltd,http://leon-rodriguez.info/,Healthcare,Custom Software,B2B2C,188,$50M+,2007,NR,Lake Peggyfort,WY,648-507-5667,,Dwayne,Gates,Conference centre manager,,001-078-728-4507x761,perezcarmen@yahoo.com,manual,20
Lamb LLC,http://davis-turner.biz/,Education,Custom Software,B2C,313,$500K-$1M,2007,A+,Annaton,OK,(388)378-2906x76983,http://orr-robertson.com/,Brandon,Spencer,"Radiographer, diagnostic",https://www.atkins-fischer.com/,(673)893-4415x2328,justin04@yahoo.com,manual,35
Ryan-Ryan,http://www.cooper-white.com/,Real Estate,Accounting Tools,B2B2C,947,$1M-$10M,2004,C,South Richardside,NE,(276)442-4508x53378,,John,Robertson,Software engineer,,+1-371-195-4609,,manual,25
"Kennedy, Palmer and Vaughan",https://www.gutierrez.info/,Healthcare,Mobile Apps,B2B2C,394,$50M+,1990,NR,Justinstad,IL,001-060-152-5136x6572,https://bryan.com/,Jessica,Owens,Theatre director,https://mccormick.com/,461-730-7258,,scraped,15
Mclaughlin-Thomas,http://www.curtis-dyer.com/,Retail,e-Learning,B2B2C,373,$10M-$50M,1996,C,Levineberg,WA,(879)150-9750x817,http://www.gonzalez.biz/,Christian,Griffith,Financial planner,https://lee-trevino.com/,001-961-209-3384x12581,,scraped,25
Campbell Group,https://www.williams-moore.com/,Retail,EHR Systems,B2B,460,$500K-$1M,1990,B,East Troy,MD,4648041172,https://www.wagner.com/,Elizabeth,Huff,Licensed conveyancer,https://schmidt.com/,372.494.8926x93864,,scraped,25
Ramirez PLC,https://www.floyd.net/,Healthcare,Accounting Tools,B2B,792,$50M+,2008,A+,North Amy,NM,646-209-2830x8695,https://guerrero.com/,Cynthia,Hicks,Technical author,http://www.austin.com/,001-146-170-1022x490,,scraped,35
Brown-Meyer,https://hall.com/,Software Development,EHR Systems,B2B2C,213,$1M-$10M,1994,A+,Lake Eric,MN,(986)229-4159,,Lawrence,Rojas,"Engineer, broadcasting (operations)",,4239677479,,scraped,40
"Garrett, Davila and Esparza",https://king-hudson.com/,Retail,Accounting Tools,B2B,180,$500K-$1M,2000,NR,Emmamouth,UT,214.458.7778x16414,https://hopkins.com/,Ashlee,Oconnor,"Clinical scientist, histocompatibility and immunogenetics",https://www.barry.com/,072.323.5678,,scraped,25
Hall Group,http://parrish.com/,Finance,Custom Software,B2B,797,$10M-$50M,2006,B,East Alyssaborough,CT,141.391.0326,http://garcia.com/,Victoria,Long,Management consultant,http://abbott.com/,879-760-9047,,manual,40
Hammond Inc,http://conway.com/,Retail,Custom Software,B2B,786,$10M-$50M,2016,A,Jonesstad,CT,(037)983-5959,,Mark,Clayton,Copy,,457-238-0208x27900,,scraped,38
Campbell Ltd,http://www.meyer.info/,Real Estate,Accounting Tools,B2C,680,$10M-$50M,2015,NR,Martinville,NY,(448)006-3293,https://mcdonald-suarez.net/,Jessica,Paul,Special educational needs teacher,http://www.weaver.com/,+1-850-167-0246x46658,,manual,30
Wilkinson Group,http://khan.com/,Real Estate,Custom Software,B2B,645,$500K-$1M,1997,A,Johnsonstad,OK,363.453.3138,https://www.fowler.com/,Matthew,Spencer,Medical illustrator,http://www.haynes.com/,(806)469-4604,sophiasantana@stokes.com,manual,43
Baker Inc,https://arnold.info/,Healthcare,Custom Software,B2C,297,$50M+,2002,NR,Fosterland,GA,088.220.5033x670,http://ochoa-lee.com/,Julie,Weaver,Regulatory affairs officer,https://www.hobbs.com/,+1-322-613-9182x9427,,manual,20
"Jacobson, Smith and Ellison",https://www.harris.info/,Healthcare,Custom Software,B2B,802,$50M+,2014,B,Port Danielhaven,WA,5908943312,https://www.booth-johnson.com/,Amanda,Boyd,Equality and diversity officer,http://jones.net/,001-600-130-5522x540,john78@yahoo.com,scraped,30
Vasquez and Sons,http://cardenas-gonzalez.com/,Real Estate,EHR Systems,B2C,617,$50M+,1995,B,South Rebecca,WI,+1-937-499-5477x41544,https://simmons-green.com/,Audrey,Rice,Retail merchandiser,https://www.duncan.com/,974-062-9321x329,,manual,20
"Jones, Graves and Horton",https://www.garcia-hendricks.com/,Finance,Custom Software,B2C,875,$500K-$1M,2023,B,Stevenbury,MD,001-377-100-0502x1525,,Clifford,Marsh,"Engineer, electronics",,(549)091-9857,,manual,10
"Jones, Pugh and Conley",http://www.gonzalez.com/,Software Development,Accounting Tools,B2C,93,$500K-$1M,1998,NR,Sharonbury,WA,+1-692-132-4924x786,,Megan,Hester,Ceramics designer,,559-002-3868,thomasdonna@fernandez-perez.com,scraped,30
Castro and Sons,https://www.kline.com/,Software Development,e-Learning,B2C,598,$1M-$10M,2002,A+,North Kelly,LA,001-265-319-5566,https://www.cobb.com/,Julia,Wiley,Communications engineer,http://blair-todd.com/,287-781-5096x3704,mharris@yahoo.com,manual,55
Randall Group,https://www.figueroa.com/,Finance,EHR Systems,B2B2C,389,$500K-$1M,1993,C,North Charles,KY,359.082.3489x29415,https://www.fernandez-collins.info/,Cesar,Cabrera,Control and instrumentation engineer,http://mora.com/,637.708.1252x8728,jason95@gmail.com,manual,25
"Morgan, Wu and Cain",http://www.anderson.com/,Finance,Mobile Apps,B2B2C,659,$1M-$10M,2006,A+,Moralesmouth,SD,5640629937,https://gaines.com/,Barbara,Montoya,Logistics and distribution manager,http://www.howell.net/,001-135-077-0208x24708,,manual,40
"Smith, Foster and Petty",https://www.vaughn.net/,Software Development,Accounting Tools,B2B,256,$10M-$50M,2009,C,North Mario,SD,+1-057-286-1199,,Matthew,Taylor,Visual merchandiser,,+1-554-099-4577,kristophervaldez@yahoo.com,scraped,45
"Johnson, Warren and Peters",https://stewart.com/,Finance,e-Learning,B2C,84,$10M-$50M,1995,A+,South Eric,HI,544-323-8915x856,https://www.guerrero.org/,Tammy,Stone,Translator,http://wiley.com/,305-732-6293,kimberlyroberts@gmail.com,manual,50
Davis Inc,https://jenkins.net/,Finance,Custom Software,B2C,531,$500K-$1M,2003,B,Cassandrastad,IN,(949)185-6341x681,http://mcgee.com/,Jessica,Martin,"Engineer, energy",http://cameron-lopez.biz/,568-612-0785x2002,pagejesse@yahoo.com,manual,25
Gordon and Sons,https://www.olson-fields.com/,Software Development,Accounting Tools,B2B,495,$1M-$10M,2007,C,East Courtney,NE,001-301-705-2159x69852,,Hector,Medina,"Pilot, airline",,088-297-1981x3923,,manual,45
Greene-Jackson,https://www.parrish.com/,Healthcare,e-Learning,B2B2C,96,$500K-$1M,2003,B,Montgomeryshire,CO,(988)039-4672x179,https://phillips.info/,Lee,Romero,"Pharmacist, community",http://hart.com/,353.905.2648x9182,lawrencecox@hotmail.com,manual,30
"Khan, Schaefer and Thompson",http://patrick.com/,Software Development,EHR Systems,B2B,871,$50M+,2004,A+,Robintown,MI,534-592-5113x9385,,Katie,Porter,Fashion designer,,9438905710,justinkelly@crane.org,manual,50
Phillips-Hill,http://smith.com/,Finance,Mobile Apps,B2B,938,$500K-$1M,1995,A+,West Cassandraland,OK,509-139-0729x586,,Megan,Moore,Microbiologist,,(115)207-0864,amber18@hotmail.com,scraped,35
Moreno-Oconnor,https://www.johnson-potter.com/,Finance,Accounting Tools,B2B,456,$500K-$1M,1992,C,Lake Janice,KS,+1-721-868-7474x90701,,Aimee,Barnett,Computer games developer,,797.740.4186x32588,,scraped,20
"Wolfe, Gonzales and Dominguez",https://www.johnson-yang.com/,Software Development,CRM,B2B,409,$10M-$50M,2021,C,Vasquezview,MS,001-927-370-4686x340,,Stephen,Scott,Legal executive,,+1-694-794-4686x85687,,manual,40
Coleman-Cross,http://www.smith.com/,Real Estate,CRM,B2C,519,$1M-$10M,2016,A,North Aliciachester,LA,+1-305-287-8801x562,,Nathan,Phillips,"Designer, fashion/clothing",,925.915.1764x637,,manual,33
"Browning, Morgan and Reed",https://www.kennedy.com/,Retail,Mobile Apps,B2B2C,41,$500K-$1M,1993,A,North Samuel,TX,+1-508-316-2073x453,,Bryan,Kim,Agricultural consultant,,429.780.1176,cathy96@martinez-lara.com,scraped,28
Olson-Thomas,https://www.woods.biz/,Retail,Custom Software,B2C,226,$10M-$50M,2013,B,Port Donnaton,OR,726-422-5665x5276,http://massey-drake.net/,Stephanie,Simmons,Data processing manager,https://www.wright-allen.com/,001-674-781-0794x57454,mhardin@alvarado.com,manual,35
Hahn Inc,https://bennett.com/,Software Development,Custom Software,B2B2C,576,$500K-$1M,2002,NR,Graceborough,TX,067.796.9812x318,http://johns-simpson.com/,Ashley,Johnson,Higher education careers adviser,http://stevens.net/,878-370-9528x7162,,manual,30
Delacruz Inc,https://shepherd.com/,Real Estate,Custom Software,B2B2C,72,$50M+,1992,A,Tomchester,SC,885.504.6435x16724,,William,Reed,"Production assistant, television",,947-970-8236x1722,,scraped,23
Mitchell Inc,https://rowland.com/,Retail,Mobile Apps,B2B2C,566,$50M+,2001,A,Johnsonstad,MO,(503)865-3203,https://frederick.org/,Elizabeth,Bowen,Call centre manager,http://www.medina-lee.com/,660.964.0073x5946,,manual,28
Larson-Tran,http://olson.com/,Finance,EHR Systems,B2B2C,960,$1M-$10M,2022,NR,Santoshaven,UT,001-655-201-4088x1674,https://hernandez.biz/,Eric,Pratt,Air traffic controller,http://flynn.com/,588-255-6696x35476,,scraped,20
"Hunter, Abbott and Rodriguez",https://www.farley.net/,Software Development,EHR Systems,B2C,693,$50M+,1995,NR,Alexandertown,SD,001-836-337-7131x7941,,Steven,Perez,Sales executive,,+1-282-720-1681x629,isabel63@austin.com,scraped,25
Perkins-Reyes,https://farmer-rodriguez.com/,Real Estate,Mobile Apps,B2B,723,$500K-$1M,1998,NR,New Jonathan,SD,001-276-851-5557x79634,http://gonzales-hernandez.com/,Robert,Chavez,"Engineer, land",https://buchanan-gordon.com/,001-194-883-0713x999,psullivan@hotmail.com,scraped,30
Aguilar LLC,http://fisher-barnett.org/,Retail,CRM,B2B2C,328,$50M+,2023,NR,Guzmanborough,NM,4550676278,http://www.burton.com/,Kimberly,Lang,"Surveyor, planning and development",http://costa.com/,(058)187-9694,paul51@hotmail.com,manual,20
Green-Kim,http://knight-lambert.com/,Software Development,e-Learning,B2B2C,365,$500K-$1M,2003,C,Patriciaburgh,RI,245.236.4702,http://knapp.biz/,Justin,Brooks,"Designer, ceramics/pottery",https://ramirez.biz/,+1-813-807-5763x78869,,scraped,25
Armstrong Inc,http://rivera.net/,Finance,Mobile Apps,B2C,991,$500K-$1M,1999,NR,Lake Chad,UT,401-880-6326x623,,Joseph,Sanford,Manufacturing systems engineer,,906-188-0980x862,,scraped,10
Rivera-Henderson,http://harris.com/,Education,e-Learning,B2C,216,$10M-$50M,2015,NR,West Benjamin,MD,606.108.2876x9413,,Lori,Sullivan,Camera operator,,+1-754-767-1437,amy15@williams.net,manual,30
"Williams, Wells and Graham",https://cardenas-edwards.com/,Software Development,Mobile Apps,B2B2C,544,$500K-$1M,1998,NR,West Lauraborough,TN,(040)589-0930,,Joseph,Johnson,"Investment banker, corporate",,(080)029-6415,,scraped,20
Long-Daniels,http://martinez-brooks.com/,Retail,e-Learning,B2C,918,$10M-$50M,2020,A+,Lake Johnchester,AK,205.645.9114x080,https://collins-alexander.com/,Rebecca,Cooper,Engineering geologist,http://www.robles.com/,+1-506-005-3719x577,,manual,35
Chavez-Davila,http://graham.com/,Retail,CRM,B2C,212,$1M-$10M,1997,A+,North Elizabeth,HI,059-302-2418,,Kimberly,Moore,Corporate investment banker,,+1-123-907-0519x05874,,manual,35
